,id,title,crit_score,user_score,PC,PlayStation,PlayStation2,PlayStation3,PlayStation4,Xbox,Xbox360,XboxOne,genre,release_year,is_mult,is_single
8252,8252,surfing-h3o,46.0,3.6,0,0,1,0,0,0,0,0,Sport,2000,0,0
8255,8255,surge-deluxe,77.0,7,0,1,0,0,0,0,0,0,Puzzle,2014,0,1
8257,8257,surgeon-simulator-anniversary-edition,56.0,4.9,0,0,0,0,1,0,0,0,Simulator,2014,0,1
8259,8259,surgeon-simulator-experience-reality,43.0,4.1,1,0,0,0,1,0,0,0,Adventure,2016,0,1
8260,8260,surviving-mars,76.0,6.6,1,0,0,0,1,0,0,1,Simulator,2018,0,1
8264,8264,swapquest,64.0,7,0,1,0,0,0,0,0,1,Indie,2015,1,1
8266,8266,swat-3-elite-edition,81.0,7.9,1,0,0,0,0,0,0,0,Shooter,2000,1,1
8267,8267,swat-4,85.0,8.6,1,0,0,0,0,0,0,0,Shooter,2005,1,1
8268,8268,swat-4-the-stetchkov-syndicate,80.0,8,1,0,0,0,0,0,0,0,Shooter,2006,1,1
8269,8269,swat-global-strike-team,69.0,7.8,0,0,1,0,0,1,0,0,Shooter,2003,0,1
8270,8270,swat-target-liberty,50.0,6.2,0,1,0,0,0,0,0,0,Shooter,2007,0,1
8274,8274,switchball,78.0,7.9,1,0,0,1,0,1,0,0,Platform,2007,0,0
8275,8275,sword-art-online-fatal-bullet,72.0,7.3,1,0,0,0,1,0,0,1,Role-playing (RPG),2018,1,1
8276,8276,sword-art-online-hollow-fragment,67.0,7.6,0,1,0,0,0,0,0,0,Role-playing (RPG),2014,1,1
8277,8277,sword-art-online-hollow-realization,69.0,7.4,0,0,0,0,1,0,0,0,Role-playing (RPG),2016,0,1
8278,8278,sword-art-online-lost-song,63.0,6.2,1,0,0,1,1,0,0,0,Role-playing (RPG),2015,1,1
8279,8279,sword-art-online-re-hollow-fragment,65.0,7.1,1,0,0,0,1,0,0,0,Role-playing (RPG),2015,1,1
8280,8280,sword-coast-legends,61.0,5.6,1,0,0,0,1,0,0,1,Adventure,2015,1,1
8283,8283,sword-of-the-stars,68.0,7.2,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2006,1,1
8284,8284,sword-of-the-stars-born-of-blood,79.0,7.6,1,0,0,0,0,0,0,0,Strategy,2007,1,1
