,id,title,crit_score,user_score,PC,PlayStation,PlayStation2,PlayStation3,PlayStation4,Xbox,Xbox360,XboxOne,genre,release_year,is_mult,is_single
1,1,007-legends,45.0,4.5,1,0,0,1,0,0,1,0,Shooter,2012,1,1
2,2,007-quantum-of-solace,70.0,6,1,0,1,1,0,0,1,0,Shooter,2008,1,1
3,3,007-racing,51.0,4.6,0,1,0,0,0,0,0,0,Racing,2000,1,1
4,4,007-the-world-is-not-enough,81.0,7.7,0,1,0,0,0,0,0,0,Shooter,2000,1,1
5,5,0-day-attack-on-earth,41.0,4.5,0,0,0,0,0,0,1,0,Shooter,2009,1,1
6,6,0rbitalis,73.0,7.3,1,0,0,0,0,0,0,0,Indie,2014,0,1
7,7,1000-tiny-claws,76.0,6.3,0,1,0,0,0,0,0,0,Indie,2011,0,0
8,8,1001-spikes,78.0,6.6,1,0,0,0,1,0,0,1,Adventure,2014,1,1
10,10,100ft-robot-golf,56.0,5.9,0,0,0,0,1,0,0,0,Fighting,2016,1,1
14,14,10-second-ninja,72.0,7.1,1,0,0,0,0,0,0,0,Indie,2014,0,1
15,15,10-second-ninja-x,82.0,4.5,1,0,0,0,1,0,0,1,Arcade,2016,0,1
16,16,11-11-memories-retold,77.0,7.7,1,0,0,0,1,0,0,1,Adventure,2018,0,1
17,17,12-is-better-than-6,59.0,6.3,1,0,0,0,0,0,0,0,Indie,2015,0,1
19,19,187-ride-or-die,52.0,7,0,0,1,0,0,1,0,0,Racing,2005,1,1
20,20,18-wheeler-american-pro-trucker,67.0,6.6,0,0,1,0,0,0,0,0,Racing,1999,0,1
21,21,1942-joint-strike,69.0,5.9,0,1,0,0,0,1,0,0,Shooter,2008,1,1
23,23,1954-alcatraz,58.0,6.3,1,0,0,0,0,0,0,0,Adventure,2014,0,1
24,24,1979-revolution-black-friday,80.0,7.5,1,0,0,0,1,0,0,1,Adventure,2016,0,1
25,25,198x,74.0,5.8,1,0,0,0,1,0,0,1,Arcade,2019,0,1
26,26,1nsane,69.0,7.8,1,0,0,0,0,0,0,0,Arcade,2000,1,1
27,27,2002-fifa-world-cup,80.0,7.6,1,0,1,0,0,1,0,0,Sport,2002,1,1
28,28,2010-fifa-world-cup-south-africa,83.0,8.2,0,0,0,1,0,0,1,0,Simulator,2010,0,1
29,29,2014-fifa-world-cup-brazil,74.0,4.4,0,0,0,1,0,0,1,0,Sport,2014,1,1
31,31,20xx,77.0,8,1,0,0,0,1,0,0,1,Indie,2017,1,1
32,32,24-the-game,62.0,8.1,0,0,1,0,0,0,0,0,Adventure,2006,0,1
33,33,25-to-life,41.0,7.9,1,0,1,0,0,1,0,0,Shooter,2006,1,1
34,34,2dark,68.0,5.5,1,0,0,0,1,0,0,1,Adventure,2017,0,1
35,35,300-march-to-glory,55.0,6.8,0,1,0,0,0,0,0,0,Adventure,2007,0,0
36,36,39-days-to-mars,71.0,3.9,1,0,0,0,0,0,0,1,Adventure,2018,1,1
42,42,3d-dot-game-heroes,77.0,8.1,0,0,0,1,0,0,0,0,Adventure,2009,0,1
49,49,3d-ultra-minigolf-adventures,66.0,6.1,1,0,0,0,0,1,0,0,Sport,2006,1,1
50,50,3-on-3-nhl-arcade,66.0,7.1,0,0,0,1,0,1,0,0,Sport,2009,1,1
51,51,428-shibuya-scramble,85.0,7.5,1,0,0,1,1,0,0,0,Adventure,2008,0,1
52,52,4pm,41.0,4.2,1,0,0,0,0,0,0,0,Indie,2014,0,1
53,53,4x4-evo-2,69.0,7.3,1,0,1,0,0,1,0,0,Racing,2001,0,1
54,54,4x4-evolution,74.0,7,1,0,1,0,0,0,0,0,Racing,2000,1,1
55,55,50-cent-blood-on-the-sand,72.0,6.9,0,0,0,1,0,0,1,0,Shooter,2009,1,1
56,56,50-cent-bulletproof,50.0,5.7,0,0,1,0,0,1,0,0,Shooter,2005,1,1
57,57,50-cent-bulletproof-g-unit-edition,52.0,4.5,0,1,0,0,0,0,0,0,Shooter,2006,0,0
58,58,60-parsecs,70.0,6.5,1,0,0,0,0,0,0,0,Adventure,2018,0,1
59,59,7554-glorious-memories-revived,41.0,4.6,1,0,0,0,0,0,0,0,Shooter,2011,0,1
60,60,7-days-to-die,45.0,5.8,1,0,0,0,1,0,0,1,Adventure,2013,1,1
64,64,80-days,84.0,7.9,1,0,0,0,0,0,0,0,Adventure,2014,0,1
65,65,88-heroes,72.0,5.8,1,0,0,0,1,0,0,1,Indie,2017,0,1
68,68,8-bit-armies,69.0,7.2,1,0,0,0,1,0,0,1,Indie,2016,1,1
69,69,8-bit-hordes,63.0,3,1,0,0,0,1,0,0,1,Indie,2016,1,1
70,70,911-operator,68.0,7.3,1,0,0,0,0,0,0,0,Indie,2017,0,1
72,72,99vidas,61.0,6.5,1,0,0,1,1,0,0,1,Arcade,2016,1,1
73,73,aaaaaaaaaaaaaaaaaaaaaaaaa-a-reckless-disregard-for-gravity,81.0,7.2,1,0,0,0,0,0,0,0,Indie,2009,0,1
74,74,aaero,80.0,6.5,1,0,0,0,1,0,0,1,Indie,2017,0,1
76,76,aarklash-legacy,72.0,7.7,1,0,0,0,0,0,0,0,Adventure,2013,0,1
77,77,a-bird-story,66.0,6.9,1,0,0,0,0,0,0,0,Adventure,2014,0,1
79,79,absolver,75.0,5.9,1,0,0,0,1,0,0,0,Adventure,2017,1,1
81,81,abyss-odyssey,70.0,6.2,1,0,0,1,1,1,0,0,Adventure,2014,1,1
82,82,abyss-odyssey-extended-dream-edition,65.0,5.4,0,1,0,0,0,0,0,0,Adventure,2015,0,0
85,85,aca-neogeo-metal-slug-3,76.0,7.6,0,0,0,0,1,0,0,1,Shooter,2017,1,0
86,86,aca-neogeo-shock-troopers,70.0,6.8,0,0,0,0,1,0,0,1,Arcade,2017,1,1
87,87,a-case-of-distrust,77.0,5.6,1,0,0,0,0,0,0,0,Adventure,2018,0,1
90,90,ace-banana,40.0,4.3,0,0,0,0,1,0,0,0,Adventure,2016,0,0
91,91,ace-combat-04-shattered-skies,89.0,8.7,0,0,1,0,0,0,0,0,Arcade,2001,1,1
92,92,ace-combat-2,83.0,8.7,0,1,0,0,0,0,0,0,Shooter,1997,0,1
93,93,ace-combat-5-the-unsung-war,84.0,8.9,0,0,1,0,1,0,0,0,Simulator,2004,0,1
94,94,ace-combat-6-fires-of-liberation,80.0,7.9,0,0,0,0,0,0,1,0,Arcade,2007,1,1
95,95,ace-combat-7-skies-unknown,80.0,8.1,1,0,0,0,1,0,0,1,Simulator,2019,1,1
97,97,ace-combat-assault-horizon,78.0,6.2,0,0,0,1,0,0,1,0,Shooter,2011,1,1
98,98,ace-combat-assault-horizon-enhanced-edition,77.0,5.9,1,0,0,0,0,0,0,0,Shooter,2013,1,1
101,101,ace-combat-infinity,54.0,5.8,0,0,0,1,0,0,0,0,Arcade,2014,1,1
102,102,ace-combat-joint-assault,71.0,7.4,0,1,0,0,0,0,0,0,Shooter,2010,0,0
103,103,ace-combat-x-skies-of-deception,75.0,8.1,0,1,0,0,0,0,0,0,Simulator,2006,0,0
104,104,ace-combat-zero-the-belkan-war,75.0,8.5,0,0,1,0,0,0,0,0,Simulator,2006,1,1
105,105,ace-of-spades,49.0,5.2,1,0,0,0,0,0,0,0,Indie,2012,1,0
106,106,aces-of-the-galaxy,71.0,7.3,1,0,0,0,0,1,0,0,Shooter,2008,0,1
108,108,achron,54.0,7.4,1,0,0,0,0,0,0,0,Indie,2011,1,1
110,110,a-city-sleeps,61.0,6.2,1,0,0,0,0,0,0,0,Indie,2014,0,1
113,113,action-henk,74.0,7.5,1,0,0,1,1,0,0,1,Indie,2015,1,1
115,115,active-soccer-2-dx,53.0,6.9,0,0,0,0,0,0,0,1,Sport,2016,1,0
118,118,act-of-aggression,71.0,7.1,1,0,0,0,0,0,0,0,Indie,2015,1,1
119,119,act-of-war-direct-action,82.0,7.8,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2005,1,1
120,120,act-of-war-high-treason,74.0,7.5,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2006,1,1
121,121,actual-sunlight,75.0,6.1,1,1,0,0,0,0,0,0,Adventure,2013,0,1
122,122,adr1ft,64.0,5.3,1,0,0,0,1,0,0,1,Adventure,2016,0,1
129,129,advent-rising,70.0,8.6,1,0,0,0,0,1,0,0,Adventure,2005,0,1
132,132,adventures-of-mana,66.0,8.4,0,1,0,0,0,0,0,0,Adventure,2016,0,1
133,133,adventures-of-pip,78.0,7.7,1,0,0,0,1,0,0,1,Adventure,2015,0,1
134,134,adventures-to-go,58.0,7.5,0,1,0,0,0,0,0,0,Adventure,2009,0,0
135,135,adventure-time-finn-and-jake-investigations,66.0,5.5,1,0,0,1,1,0,1,1,Adventure,2015,0,1
136,136,adventure-time-pirates-of-the-enchiridion,62.0,6.2,1,0,0,0,1,0,0,1,Adventure,2018,0,1
137,137,aedis-eclipse-generation-of-chaos,62.0,6.2,0,1,0,0,0,0,0,0,Role-playing (RPG),2006,0,0
139,139,aegis-of-earth-protonovus-assault,57.0,6.4,0,0,0,0,1,0,0,0,Puzzle,2015,0,1
140,140,aegis-wing,58.0,7,0,0,0,0,0,1,0,0,Adventure,2007,1,1
142,142,aerea,50.0,4,1,0,0,0,1,0,0,1,Adventure,2017,1,1
144,144,aer-memories-of-old,71.0,6.9,1,0,0,0,1,0,0,1,Adventure,2017,0,1
145,145,aero-elite-combat-academy,64.0,7.5,0,0,1,0,0,0,0,0,Simulator,2002,1,1
147,147,aero-racer,65.0,6.2,0,1,0,0,0,0,0,0,Racing,2010,0,0
150,150,aeternoblade,59.0,6.6,0,1,0,0,0,0,0,1,Adventure,2014,0,1
151,151,aeternoblade-ii,44.0,4.8,0,0,0,0,0,0,0,1,Adventure,2019,0,1
153,153,a-fistful-of-gun,60.0,7.6,1,0,0,0,0,0,0,0,Indie,2016,1,1
155,155,afrika,63.0,6.2,0,0,0,1,0,0,0,0,Simulator,2008,0,1
156,156,afro-samurai,65.0,6.3,0,0,0,1,0,0,1,0,Hack and slash/Beat 'em up,2009,0,1
158,158,after-burner-black-falcon,73.0,6.8,0,1,0,0,0,0,0,0,Shooter,2007,0,0
159,159,after-burner-climax,75.0,6.7,0,0,0,1,0,0,1,0,Arcade,2006,0,1
160,160,aftercharge,69.0,5.5,1,0,0,0,0,0,0,1,Indie,2019,1,0
162,162,afterparty,75.0,7,1,1,0,0,0,0,0,1,Adventure,2019,0,1
164,164,a-game-of-dwarves,60.0,6.5,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2012,0,1
166,166,agatha-christie-and-then-there-were-none,68.0,7.6,1,0,0,0,0,0,0,0,Adventure,2005,0,1
167,167,agatha-christie-evil-under-the-sun,66.0,7.2,1,0,0,0,0,0,0,0,Adventure,2007,0,1
168,168,agatha-christie-murder-on-the-orient-express,60.0,7.5,1,0,0,0,0,0,0,0,Adventure,2006,0,1
169,169,agatha-christie-the-abc-murders,66.0,8.5,0,0,0,0,1,0,0,1,Adventure,2009,0,1
170,170,agent-a-a-puzzle-in-disguise,79.0,8.3,1,0,0,0,1,0,0,1,Adventure,2015,0,1
171,171,agents-of-mayhem,73.0,6.5,1,0,0,0,1,0,0,1,Adventure,2017,0,1
172,172,age-of-booty,76.0,7.2,1,0,0,1,0,1,0,0,Arcade,2008,1,1
173,173,age-of-conan-hyborian-adventures,80.0,7.3,1,0,0,0,0,0,0,0,Adventure,2008,1,0
174,174,age-of-conan-rise-of-the-godslayer,83.0,7.6,1,0,0,0,0,0,0,0,Adventure,2010,1,0
175,175,age-of-empires,83.0,8.7,1,0,0,0,0,0,0,0,Adventure,1997,1,1
176,176,age-of-empires-definitive-edition,69.0,5.7,1,0,0,0,0,0,0,0,Adventure,2018,1,1
177,177,age-of-empires-ii-definitive-edition,84.0,8.9,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2019,1,1
178,178,age-of-empires-ii-hd-edition,68.0,7.9,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2013,1,1
179,179,age-of-empires-iii,81.0,7.7,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2005,1,1
180,180,age-of-empires-iii-the-asian-dynasties,81.0,8.5,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2007,1,1
181,181,age-of-empires-iii-the-warchiefs,80.0,7.8,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2006,1,1
182,182,age-of-empires-ii-the-age-of-kings,92.0,9,1,0,1,0,0,0,0,0,Real Time Strategy (RTS),1999,1,1
185,185,age-of-empires-online,70.0,5.7,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2011,1,0
187,187,age-of-mythology,89.0,8.9,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2002,1,1
188,188,age-of-mythology-extended-edition,66.0,7.2,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2014,1,1
189,189,age-of-mythology-the-titans,84.0,8.8,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2003,1,1
190,190,age-of-pirates-2-city-of-abandoned-ships,61.0,7.4,1,0,0,0,0,0,0,0,Role-playing (RPG),2009,0,1
191,191,age-of-pirates-caribbean-tales,56.0,6,1,0,0,0,0,0,0,0,Role-playing (RPG),2006,0,1
194,194,age-of-wonders-iii-eternal-lords,80.0,8.4,1,0,0,0,0,0,0,0,Role-playing (RPG),2015,1,1
196,196,age-of-wonders-planetfall,85.0,6.5,1,0,0,0,0,0,0,1,Strategy,2019,1,1
197,197,age-of-wonders-shadow-magic,82.0,8.5,1,0,0,0,0,0,0,0,Role-playing (RPG),2003,1,1
198,198,age-of-zombies,79.0,6.8,0,1,0,0,0,0,0,0,Adventure,2010,0,1
199,199,aggressive-inline,88.0,7.6,0,0,1,0,0,1,0,0,Sport,2002,0,1
200,200,aggressors-ancient-rome,76.0,8,1,0,0,0,0,0,0,0,Strategy,2018,0,1
201,201,a-golden-wake,68.0,6,1,0,0,0,0,0,0,0,Adventure,2014,0,1
204,204,a-hat-in-time,79.0,8,1,0,0,0,1,0,0,1,Adventure,2017,1,1
206,206,aion,76.0,6.6,1,0,0,0,0,0,0,0,Role-playing (RPG),2009,1,0
210,210,airblade,70.0,5.8,0,0,1,0,0,0,0,0,Arcade,2001,1,1
215,215,air-conflicts-vietnam,43.0,2.7,1,0,0,0,1,0,1,0,Fighting,2013,1,1
216,216,air-conflicts-vietnam-ultimate-edition,30.0,1.7,0,0,0,0,1,0,0,0,Simulator,2014,0,1
217,217,airfix-dogfighter,75.0,7.7,1,0,0,0,0,0,0,0,Simulator,2000,1,1
218,218,airforce-delta-storm,61.0,7.1,0,0,0,0,0,1,0,0,Simulator,2001,0,1
220,220,airheart-tales-of-broken-wings,63.0,5.4,1,0,0,0,1,0,0,0,Adventure,2018,0,1
222,222,airscape-the-fall-of-gravity,75.0,6.6,1,0,0,0,0,0,0,0,Adventure,2015,0,1
224,224,ai-the-somnium-files,86.0,8.9,1,0,0,0,1,0,0,0,Adventure,2019,0,1
225,225,ai-war-fleet-command,80.0,7.9,1,0,0,0,0,0,0,0,Indie,2009,1,1
226,226,akai-katana,75.0,8.1,0,0,0,0,0,0,1,0,Shooter,2010,0,1
227,227,akane,69.0,7.2,1,0,0,0,0,0,0,0,Arcade,2018,0,1
229,229,akimi-village,69.0,3.6,0,0,0,1,0,0,0,0,Puzzle,2011,0,0
230,230,a-kingdom-for-keflings,78.0,7.2,1,0,0,0,0,1,0,0,Arcade,2008,1,1
231,231,alan-wake,83.0,8,1,0,0,0,0,0,1,0,Adventure,2010,0,1
232,232,alan-wake-the-signal,75.0,6.9,1,0,0,0,0,0,1,0,Adventure,2010,0,1
233,233,alan-wake-the-writer,80.0,7.3,0,0,0,0,0,0,1,0,Adventure,2010,0,1
235,235,albion-online,72.0,4.8,1,0,0,0,0,0,0,0,Role-playing (RPG),2017,1,0
236,236,alexander,56.0,8.2,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2004,1,1
238,238,alfred-hitchcock-presents-the-final-cut,50.0,6.8,1,0,0,0,0,0,0,0,Adventure,2002,0,1
239,239,alias,64.0,7.7,1,0,1,0,0,1,0,0,Adventure,2004,0,1
240,240,alice-in-wonderland,78.0,9,1,0,0,0,0,0,0,0,Adventure,2010,1,1
241,241,alice-madness-returns,75.0,8.4,1,0,0,1,0,0,1,0,Adventure,2011,0,1
242,242,alienation,79.0,7.8,0,0,0,0,1,0,0,0,Shooter,2016,0,1
245,245,alien-breed,68.0,3.8,0,1,0,0,0,0,0,0,Shooter,1991,0,1
246,246,alien-breed-2-assault,67.0,5.4,1,1,0,0,0,1,0,0,Adventure,2010,0,1
247,247,alien-breed-3-descent,68.0,6.7,1,1,0,0,0,1,0,0,Adventure,2010,0,1
248,248,alien-breed-evolution,69.0,8,0,0,0,0,0,0,1,0,Shooter,2009,0,0
249,249,alien-breed-impact,71.0,6.3,1,0,0,1,0,1,0,0,Arcade,2009,0,1
252,252,alien-hominid,78.0,8.3,0,0,1,0,0,1,0,0,Platform,2004,0,1
253,253,alien-hominid-hd,79.0,7.6,0,0,0,0,0,1,0,0,Platform,2007,0,1
254,254,alien-isolation,83.0,8.4,1,0,0,1,1,0,1,1,Adventure,2014,0,1
255,255,alien-rage,52.0,6.7,1,0,0,1,0,0,1,0,Shooter,2013,1,1
256,256,alien-resurrection,61.0,7.5,0,1,0,0,0,0,0,0,Shooter,2000,0,0
257,257,aliens-colonial-marines,48.0,3.8,1,0,0,1,0,0,1,0,Shooter,2013,1,1
258,258,alien-shooter-vengeance,67.0,7.9,1,0,0,0,0,0,0,0,Arcade,2006,0,1
260,260,aliens-in-the-attic,58.0,6.7,1,0,1,0,0,0,0,0,Adventure,2009,0,1
261,261,alien-spidy,55.0,4.3,1,0,0,0,0,0,0,0,Adventure,2013,0,1
262,262,aliens-versus-predator-2,85.0,8.7,1,0,0,0,0,0,0,0,Shooter,2001,1,1
264,264,aliens-versus-predator-extinction,66.0,8.4,0,0,1,0,0,1,0,0,Real Time Strategy (RTS),2003,0,1
265,265,alien-swarm,77.0,8.2,1,0,0,0,0,0,0,0,Shooter,2010,1,1
266,266,alien-syndrome,51.0,6.4,0,1,0,0,0,0,0,0,Role-playing (RPG),2007,0,1
267,267,allegiance,86.0,7.1,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2000,1,0
268,268,all-pro-football-2k8,75.0,6.9,0,0,0,1,0,0,1,0,Sport,2007,1,1
269,269,all-star-baseball-2002,77.0,7.6,0,0,1,0,0,0,0,0,Simulator,2001,0,1
270,270,all-star-baseball-2003,83.0,8,0,0,1,0,0,1,0,0,Sport,2002,0,1
271,271,all-star-baseball-2004,80.0,8.2,0,0,1,0,0,1,0,0,Simulator,2003,0,1
273,273,all-star-baseball-2005,75.0,8.8,0,0,1,0,0,1,0,0,Simulator,2004,1,1
274,274,all-star-fruit-racing,63.0,4.8,1,0,0,0,1,0,0,1,Indie,2018,1,1
278,278,alone-in-the-dark-illumination,19.0,1.3,1,0,0,0,0,0,0,0,Adventure,2015,1,1
279,279,alone-in-the-dark-inferno,69.0,5.3,0,0,0,1,0,0,0,0,Adventure,2008,0,1
280,280,alone-in-the-dark-the-new-nightmare,77.0,8.3,1,0,1,0,0,0,0,0,Adventure,2001,0,1
281,281,alone-with-you,74.0,5.3,0,0,0,0,1,0,0,0,Adventure,2016,0,1
284,284,alpha-polaris-a-horror-adventure-game,52.0,4,1,0,0,0,0,0,0,0,Adventure,2015,0,1
285,285,alpha-prime,59.0,6,1,0,0,0,0,0,0,0,Shooter,2007,0,1
286,286,alpha-protocol,72.0,7.4,1,0,0,1,0,0,1,0,Role-playing (RPG),2010,0,1
287,287,alter-echo,62.0,7,0,0,1,0,0,1,0,0,Adventure,2003,0,1
290,290,alternativa,63.0,5.7,1,0,0,0,0,0,0,0,Adventure,2010,0,1
291,291,alundra,86.0,8.8,0,1,0,0,0,0,0,0,Adventure,1997,0,1
292,292,always-sometimes-monsters,73.0,7.2,1,0,0,0,1,0,0,0,Adventure,2014,0,1
293,293,amazing-discoveries-in-outer-space,71.0,6.4,0,0,0,0,1,0,0,0,Adventure,2016,0,1
296,296,american-conquest,76.0,7.8,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2003,1,1
297,297,american-conquest-divided-nation,53.0,7.6,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2006,1,1
298,298,american-conquest-fight-back,66.0,7.8,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2003,1,1
299,299,american-fugitive,68.0,7.2,1,0,0,0,1,0,0,1,Adventure,2019,0,1
300,300,american-idol,41.0,4.8,1,0,1,0,0,0,0,0,Music,2003,0,1
302,302,american-truck-simulator,76.0,6.9,1,0,0,0,0,0,0,0,Indie,2016,0,1
304,304,amnesia-a-machine-for-pigs,72.0,5.9,1,0,0,0,1,0,0,1,Adventure,2013,0,1
305,305,amnesia-collection,78.0,6.8,0,0,0,0,1,0,0,1,Adventure,2016,0,1
306,306,amnesia-memories,72.0,7.1,1,1,0,0,0,0,0,0,Adventure,2013,0,1
307,307,amnesia-the-dark-descent,85.0,8.6,1,0,0,0,1,0,0,1,Adventure,2010,0,1
308,308,among-the-sleep,66.0,7.4,1,0,0,0,1,0,0,1,Adventure,2014,0,1
309,309,amped-2,80.0,7.7,0,0,0,0,0,1,0,0,Sport,2003,0,1
310,310,amped-3,72.0,7.1,0,0,0,0,0,0,1,0,Sport,2005,1,1
311,311,amped-freestyle-snowboarding,78.0,8.3,0,0,0,0,0,1,0,0,Sport,2001,0,1
312,312,amplitude,86.0,8.5,0,0,1,0,0,0,0,0,Adventure,2003,1,1
313,313,amy,33.0,2.9,1,0,0,1,0,0,1,0,Adventure,2012,0,1
314,314,anacapri-the-dream,39.0,4.2,1,0,0,0,0,0,0,0,Adventure,2007,0,0
315,315,anachronox,77.0,7.9,1,0,0,0,0,0,0,0,Role-playing (RPG),2001,0,1
316,316,anamorphine,55.0,3.6,1,0,0,0,1,0,0,0,Adventure,2018,0,1
317,317,anarchy-online,72.0,7.4,1,0,0,0,0,0,0,0,Adventure,2001,1,1
318,318,anarchy-online-alien-invasion,73.0,6.9,1,0,0,0,0,0,0,0,Indie,2004,1,1
319,319,anarchy-online-shadowlands,85.0,8.4,1,0,0,0,0,0,0,0,Adventure,2003,1,0
320,320,anarchy-reigns,73.0,8,0,0,0,1,0,0,1,0,Fighting,2012,1,1
321,321,anarcute,79.0,7.8,1,0,0,0,0,0,0,1,Indie,2016,0,1
322,322,ancestors-legacy,77.0,7.2,1,0,0,0,1,0,0,1,Real Time Strategy (RTS),2018,1,1
323,323,ancestors-the-humankind-odyssey,72.0,4.6,1,0,0,0,1,0,0,1,Adventure,2019,0,1
324,324,ancient-amuletor,60.0,6.6,1,0,0,0,1,0,0,0,Arcade,2017,1,1
325,325,ancients-of-ooga,69.0,5.8,1,0,0,0,0,0,0,0,Indie,2011,0,1
327,327,ancient-wars-sparta,59.0,7.1,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2007,1,1
328,328,and-1-streetball,51.0,8.6,0,0,1,0,0,1,0,0,Sport,2006,1,1
330,330,a-new-beginning-final-cut,72.0,6.7,1,0,0,0,0,0,0,0,Adventure,2012,0,1
331,331,angry-birds,77.0,3.5,1,0,0,1,0,0,1,0,Indie,2009,0,1
332,332,angry-birds-trilogy,66.0,3.9,0,0,0,1,0,0,1,0,Puzzle,2012,0,1
334,334,angry-video-game-nerd-adventures,77.0,7.6,1,0,0,0,0,0,0,0,Adventure,2013,0,1
335,335,anima-gate-of-memories,72.0,7.5,1,0,0,0,1,0,0,1,Adventure,2016,0,1
347,347,ankh,74.0,6.9,1,0,0,0,0,0,0,0,Adventure,2006,0,1
348,348,anna,55.0,4.9,1,0,0,1,0,0,1,0,Adventure,2012,0,1
350,350,anno-1800,81.0,7.9,1,0,0,0,0,0,0,0,Simulator,2019,1,1
351,351,anno-2070,83.0,7.1,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2011,1,1
352,352,anno-2205,72.0,6,1,0,0,0,0,0,0,0,Real Time Strategy (RTS),2015,0,1
353,353,anodyne,75.0,6.6,1,0,0,0,1,0,0,1,Adventure,2013,0,1
354,354,anomaly-2,77.0,7.7,1,0,0,0,1,0,0,0,Indie,2013,1,1
355,355,anomaly-defenders,70.0,6.5,1,0,0,0,0,0,0,0,Indie,2014,0,1
356,356,anomaly-warzone-earth,80.0,7.3,1,0,0,1,0,1,0,0,Indie,2011,0,1
357,357,a-normal-lost-phone,73.0,6.6,1,0,0,0,0,0,0,0,Indie,2017,0,1
358,358,another-sight,67.0,7.5,1,0,0,0,1,0,0,1,Adventure,2018,0,1
359,359,another-world,75.0,7.5,1,0,0,1,1,0,0,1,Adventure,1991,0,1
360,360,another-world-20th-anniversary-edition,73.0,7.2,1,0,0,0,1,0,0,1,Adventure,2013,0,1
361,361,anthem,65.0,3.9,1,0,0,0,1,0,0,1,Adventure,2019,1,0
362,362,antichamber,82.0,8.3,1,0,0,0,0,0,0,0,Adventure,2013,0,1
363,363,antigraviator,65.0,4.9,1,0,0,0,1,0,0,1,Indie,2018,1,1
364,364,antihero,81.0,6.8,1,0,0,0,0,0,0,0,Indie,2017,1,1
368,368,ao-tennis-2,69.0,7,1,0,0,0,1,0,0,1,Simulator,2020,1,1
371,371,apb-reloaded,56.0,5.8,1,0,0,0,1,0,0,1,Adventure,2010,1,0
372,372,ape-escape,90.0,8.5,0,1,0,0,0,0,0,0,Platform,1999,0,1
373,373,ape-escape-2,82.0,8.3,0,0,1,0,0,0,0,0,Platform,2000,0,1
374,374,ape-escape-3,77.0,8.6,0,0,1,0,0,0,0,0,Platform,2005,0,1
375,375,ape-escape-academy,51.0,6.2,0,1,0,0,0,0,0,0,Puzzle,2004,0,0
376,376,ape-escape-on-the-loose,66.0,6.8,0,1,0,0,0,0,0,0,Adventure,2005,0,0
377,377,ape-out,84.0,6.3,1,0,0,0,0,0,0,0,Arcade,2019,0,1
378,378,apex,74.0,7.9,0,0,0,0,0,1,0,0,Puzzle,2003,0,1
379,379,apex-construct,72.0,6.8,1,0,0,0,1,0,0,0,Adventure,2018,0,0
380,380,apex-legends,89.0,6.7,1,0,0,0,1,0,0,1,Shooter,2019,1,0
381,381,a-pixel-story,74.0,5.8,1,0,0,0,1,0,0,1,Adventure,2015,0,1
382,382,a-plague-tale-innocence,83.0,8.4,1,0,0,0,1,0,0,1,Adventure,2019,0,1
383,383,apocalipsis,73.0,7,1,0,0,0,0,0,0,0,Adventure,2018,0,1
385,385,aporia-beyond-the-valley,71.0,7,1,0,0,0,0,0,0,0,Adventure,2017,0,1
386,386,apotheon,78.0,7.7,1,0,0,0,1,0,0,0,Adventure,2015,0,1
387,387,aqua,61.0,8.2,0,0,0,0,0,0,1,0,Puzzle,2010,0,0
390,390,aquaman-battle-for-atlantis,27.0,2.8,0,0,0,0,0,1,0,0,Adventure,2003,0,1
392,392,aquanox,67.0,7.7,1,0,0,0,0,0,0,0,Shooter,2001,1,1
393,393,aquanox-2-revelation,59.0,7.6,1,0,0,0,0,0,0,0,Shooter,2003,0,1
394,394,aquapazza-aquaplus-dream-match,75.0,7.8,0,0,0,1,0,0,0,0,Arcade,2011,0,1
395,395,aquaria,82.0,8.1,1,0,0,0,0,0,0,0,Adventure,2007,0,1
396,396,aqua-teen-hunger-force-zombie-ninja-pro-am,37.0,6.3,0,0,1,0,0,0,0,0,Hack and slash/Beat 'em up,2007,0,1
398,398,aragami,71.0,7.1,1,0,0,0,1,0,0,1,Adventure,2016,1,1
399,399,aragami-shadow-edition,81.0,5.3,1,0,0,0,1,0,0,1,Adventure,2018,1,1
401,401,arcade-darts,62.0,5.8,0,1,0,0,0,0,0,0,Sport,2010,0,0
403,403,arcana-heart,77.0,7.9,0,0,1,0,0,0,0,0,Fighting,2006,0,0
